date,time,DsWrocWybCon,LdLodzGdansk,MpKrakAlKras,MpZakopaSien,MzWarMarszal,PdBialWarsza,PkRzeszRejta,PmGdaWyzwo03,SlKatoKossut,WmOlsPuszkin,WpPoznPolank,ZpSzczLacz04
16/02/14,08:00,66.1113,77.348,151.685,30.1627,41.39,6.2,20.9591,13.7075,63.5104,32.0351,65.8083,51.9017
16/02/14,16:00,25.1289,63.4,48.9277,3.0,59.8688,22.0,15.3218,15.4017,20.1971,42.8692,70.6068,43.8195
16/02/15,00:00,104.428,78.616,42.5676,89.929,57.4676,22.0,21.4025,14.0088,35.1007,97.8135,115.441,32.1831
16/02/15,08:00,45.7312,58.328,44.6512,70.1679,45.044,26.6,26.3997,9.92144,51.0484,49.036,111.157,39.3263
16/02/15,16:00,45.0555,90.028,55.307,51.509,70.8308,17.0,27.8439,14.3612,65.4897,49.6918,86.7754,38.8182
16/02/16,00:00,22.1382,48.184,53.1452,16.4437,77.0948,13.1,42.5252,10.4166,57.7176,30.0524,43.7191,9.20072
16/02/16,08:00,15.6588,7.608,52.4131,19.1767,22.4936,15.3,32.2544,16.4627,15.211,6.25445,9.18569,8.3011
16/02/16,16:00,28.8618,30.432,50.9483,22.7313,27.7136,11.9,26.4763,8.03175,19.8381,8.69625,12.5327,22.2439
16/02/17,00:00,57.4226,36.772,41.7136,5.38964,34.1864,14.7,21.7224,32.1087,52.3653,23.2951,,35.0153
16/02/17,08:00,42.9443,22.824,48.6273,15.1111,40.4504,15.9,14.7961,66.7877,21.1268,,,20.2038
16/02/17,16:00,31.6906,21.556,51.9575,47.43,44.3132,9.2,21.0929,1.0,29.3293,27.226,,19.6363
16/02/18,00:00,54.9466,31.7,63.9374,52.7615,25.1036,8.9,21.6159,1.16653,42.7858,14.1831,,23.1818
16/02/18,08:00,74.8031,35.504,64.1445,88.7177,44.6264,15.4,14.8218,52.5048,98.2599,28.8447,,28.3781
16/02/18,16:00,35.3224,51.988,121.749,30.9465,66.2372,25.6,41.2992,14.6193,120.733,53.8628,30.87,31.2855
16/02/19,00:00,60.8405,67.204,82.1643,64.2547,48.9068,25.3,57.911,21.7261,82.8378,56.2057,58.42,47.0048
16/02/19,08:00,42.7016,13.948,48.8081,54.0316,32.0984,17.2,29.0982,15.9082,22.1777,16.7856,46.4,40.8278
16/02/19,16:00,40.0864,19.02,54.3929,17.3128,30.3236,16.1,45.103,7.63739,43.8628,21.7128,,68.8294
16/02/20,00:00,44.0319,34.236,37.1963,8.38792,20.7188,18.0,20.6345,17.2614,46.9019,9.40181,55.44,54.6804
16/02/20,08:00,51.4505,63.4,55.8384,21.1513,33.8732,12.1,18.7291,19.2406,44.6189,27.6242,43.8,39.3806
16/02/20,16:00,31.4379,,66.2474,20.7956,47.0276,34.0,27.737,5.35353,31.7367,61.176,27.9,14.9324
16/02/21,00:00,15.0786,11.412,82.332,150.665,42.0164,49.1,22.3568,1.51133,14.5036,37.951,9.1,16.5727
16/02/21,08:00,10.7752,7.608,19.3008,9.55378,,18.8,8.15671,1.1255,,14.2867,6.7,11.6318
16/02/21,16:00,14.7686,15.216,11.9852,20.8249,,13.6,14.9775,1.90764,14.0,5.29708,9.62,14.788
16/02/22,00:00,12.7849,7.608,37.7481,4.29733,,21.4,12.4385,7.82831,9.73419,16.6643,9.4,9.90904
16/02/22,08:00,17.663,8.876,16.7913,4.95994,,4.6,8.84818,7.35383,9.12392,1.86014,3.61,4.97666
16/02/22,16:00,28.7488,17.752,21.9155,11.7563,12.3668,6.6,17.6469,9.00847,13.1354,3.67611,4.01,9.39038
16/02/23,00:00,19.1903,15.216,67.9099,59.9406,12.7844,5.0,23.1353,12.8122,48.6696,17.3014,3.51,10.4028
16/02/23,08:00,12.7889,10.144,47.1657,56.363,22.9112,5.3,28.1014,10.0286,16.4634,12.8837,,13.532
16/02/23,16:00,33.4966,,20.9393,29.2353,33.038,14.7,12.2296,4.31397,86.0411,11.6789,20.88,13.1253
16/02/24,00:00,33.3592,36.772,84.833,3.20527,54.7532,31.0,21.9237,7.49486,78.5757,18.3847,35.5,12.6184
16/02/24,08:00,23.8644,12.68,49.6457,15.8572,33.1424,26.2,26.8964,6.77358,24.8496,25.0844,14.07,12.3246
16/02/24,16:00,51.4144,15.216,23.0501,14.9192,25.208,16.4,10.0569,1.78769,26.0875,10.8038,13.22,13.7786
16/02/25,00:00,50.4084,48.184,53.3537,40.0521,31.6808,10.2,50.2083,9.92825,41.3635,15.6854,25.7,17.8979
16/02/25,08:00,80.3084,34.236,92.4015,62.0526,39.1976,26.3,31.2334,12.1003,76.2612,29.7686,22.8,16.1796
16/02/25,16:00,33.4028,35.504,49.1254,22.3477,29.5928,15.6,24.5193,5.838,34.9461,23.7489,23.46,14.8716
16/02/26,00:00,45.3424,105.244,84.1826,84.0607,55.2752,66.6,17.1815,33.1811,63.9349,24.4083,75.43,41.5596
16/02/26,08:00,45.89,44.38,45.9089,53.2258,63.1052,30.7,22.942,12.0094,75.177,31.5885,31.83,11.7857
16/02/26,16:00,33.6322,26.628,64.8314,17.413,47.2364,28.4,21.7357,3.52294,31.1373,26.5676,33.77,8.22553
16/02/27,00:00,51.2189,87.492,157.911,106.288,71.9792,44.8,126.882,28.5785,201.558,40.9206,48.67,52.7943
16/02/27,08:00,60.9088,36.772,153.342,63.597,93.2768,40.8,63.6012,34.5372,98.7933,,66.09,31.6723
16/02/27,16:00,55.8993,27.896,42.973,34.6819,63.7316,37.5,30.4278,13.5174,26.6872,,27.02,13.4587
16/02/28,00:00,53.8514,74.812,94.4565,202.728,53.0828,44.0,33.7544,34.1787,68.7962,,35.49,36.8321
