date,time,DsWrocWybCon,LdLodzGdansk,MpKrakBujaka,MpKrakBulwar,MpZakopaSien,MzWarKondrat,MzWarWokalna,PdBialWaszyn,PkRzeszRejta,PmGdaWyzwo03,SlKatoKossut,WmOlsPuszkin,WpPoznPolank,ZpSzczPils02
160225,08:00,5.09258,10.5,12.7157,5.6857,29.5082,9.3,5.791095,2.2,6.4096,1.62191,20.244,2.38757,1.11448,1.82653
160225,16:00,7.40128,17.9,4.68574,5.84973,6.7293,3.2,2.692273,3.1,6.06314,1.86366,18.0825,2.34533,1.74989,5.51211
160226,00:00,2.36009,7.3,11.1008,6.73344,24.3919,4.3,6.793451,1.4,7.2735,2.08082,23.3811,2.48922,2.13135,2.64892
160226,08:00,4.36127,7.4,17.3338,20.3297,24.1104,3.6,15.494628,1.7,10.1967,1.61976,13.281,2.35074,1.28056,2.29499
160226,16:00,3.90027,10.8,9.15384,12.8012,1.30186,3.8,3.795806,4.0,5.15991,2.50022,20.2329,2.42089,2.23296,4.16512
160227,00:00,3.77187,13.8,19.8488,5.66723,36.7974,5.0,5.496984,4.0,26.3579,2.05061,29.188,2.91457,2.05439,3.05752
160227,08:00,4.56723,8.5,11.6313,7.77528,,6.2,4.998162,2.9,15.4578,2.28042,34.5088,3.90103,1.32353,2.20484
160227,16:00,10.8708,11.4,4.89603,5.34655,7.8384,5.0,5.89934,2.2,8.8628,8.0146,12.1803,3.48118,2.26753,2.66591
160228,00:00,6.87702,8.9,14.8053,11.9544,57.1272,2.9,4.300518,2.1,4.52363,2.90465,28.358,3.25227,4.10182,2.41395
160228,08:00,8.97525,10.9,5.85667,9.32177,23.5084,8.1,7.001696,2.7,8.5901,2.36603,17.2326,2.56508,2.82291,2.43464
160228,16:00,6.74254,17.5,11.6832,8.51712,9.7021,28.5,8.102873,5.3,3.91154,5.37791,51.3116,3.74743,7.43121,4.3491
160229,00:00,2.37172,11.1,8.90056,4.47097,33.9982,4.0,7.004051,1.9,11.9661,2.19152,17.0114,2.7493,5.44344,1.54206
160229,08:00,1.96325,9.1,4.62208,5.05026,35.8317,3.3,7.105229,2.4,12.987,2.47653,11.7587,2.05972,2.9855,0.80982
160229,16:00,2.28751,8.8,3.59199,7.95926,10.595,2.4,12.206407,2.6,10.3668,2.43126,12.5953,2.11085,3.85869,0.59037
160301,00:00,1.7398,6.3,5.47835,6.62335,16.3603,1.8,4.807585,2.7,9.6264,2.64397,10.3613,2.31648,1.04816,1.05292
