time,PdBialWaszynCO1g,PdHajnowkJagMOBCO1g,PkNiskoSzklaCO1g,PkRzeszRejtaCO1g,PmGdaLeczk08CO1g,PmGdaOstrz05CO1g,PmGdaPoWie01CO1g,PmGdaWyzwo03CO1g,PmGdyPoreb04CO1g,PmKosTargo12CO1g,PmLebMalcz16CO1g,PmLinieKos17CO1g,PmMalMicki15CO1g,PmSlupKniaziCO1g,PmSopBitPl06CO1g,PmStaGdaLubiCO1g,PmTczeTarg07CO1g,WmElbBazynskCO1g,WmGoldJacwieCO1g,WmOlsPuszkinCO1g,WmOstrChrobrCO1g,ZpSzczPils02CO1g
1/20/16 6:00,0.471,,0.43326,0.49036,0.368772,0.154131,0.319132,0.457916,0.438308,0.474941,0.393129,0.397974,,0.480145,,0.467,0.422921,0.466129,0.174736,0.523118,0.703132,0.44131
1/20/16 12:00,0.59,,0.57285,0.5158,0.525243,0.399336,0.523949,0.458893,0.308217,0.737606,1.011,0.422421,,1.08484,0.394603,0.556,0.484595,0.536748,0.388581,0.736789,0.904876,0.5075
1/20/16 18:00,0.519,,0.7778,0.57078,0.482449,0.350762,0.4319,0.184691,0.31055,0.677312,0.473417,0.251696,0.781142,0.740822,0.291316,0.609,0.327346,0.177127,0.563536,0.530607,0.724213,0.5093
1/21/16 0:00,0.588,,0.56577,0.54856,0.321992,0.194833,0.229245,0.169363,0.306831,0.608547,0.275256,0.233402,0.417798,0.515114,0.265744,0.214,0.271783,0.196729,0.525137,0.289366,0.437223,0.39449
1/21/16 6:00,0.571,,0.58949,0.54859,0.293037,0.281287,0.237225,0.20744,0.311407,0.795789,0.238903,0.238883,0.285299,0.41485,0.286023,0.254,0.253517,0.612167,0.383567,0.410586,0.762805,0.29486
1/21/16 12:00,0.538,,0.39887,0.45511,0.608882,0.670704,0.500169,0.328802,0.551986,0.686768,0.271704,0.276782,0.54923,0.576811,0.425435,0.408,,1.76082,0.376565,0.527346,0.669869,0.43461
1/21/16 18:00,0.512,,0.42747,0.41225,0.774098,0.295376,0.693732,0.293223,0.410139,0.68026,1.21974,0.300041,0.741921,0.708547,0.44341,1.257,0.253738,0.344374,1.42883,1.45277,0.916613,0.83359
1/22/16 0:00,0.433,,0.44993,0.30792,0.457035,0.210271,0.305001,0.227023,0.420982,0.73961,0.361377,0.283529,0.65139,0.569238,0.299509,0.481,0.256816,0.193833,0.962381,1.08157,0.628259,0.59552
1/22/16 6:00,0.444,,0.35442,0.33123,0.255739,0.254861,0.178846,0.122623,0.238821,0.694272,0.948242,0.262979,0.482436,0.570562,0.226733,0.284,0.16148,0.071015,0.669919,0.29701,0.520408,0.45492
1/22/16 12:00,0.654,,0.40802,0.50429,0.526606,0.459773,0.550444,0.39192,0.675426,0.791959,0.904553,0.326763,1.06296,0.565627,0.398807,0.504,0.286045,0.285563,0.601085,0.352603,0.686325,
1/22/16 18:00,0.619,,0.82212,0.55281,0.732107,0.853071,1.24998,0.548299,0.650351,2.08462,1.70682,0.558367,1.08781,0.999301,0.668517,1.407,0.400522,0.306618,0.684721,0.58883,0.861643,0.43042
