date,time,DsWrocWybCon,LdLodzGdansk,MpKrakAlKras,MpZakopaSien,MzWarMarszal,PdBialWaszyn,PkRzeszRejta,PmGdaWyzwo03,SlKatoPlebA4,WmOlsPuszkin,WpPoznPolank,ZpSzczPils02
160211,00:00,0.297491,0.396,0.47274,0.55696,0.361,0.497,0.28222,0.939599,0.59436,0.259979,0.46744,0.19381
160211,08:00,0.285763,0.373,0.69718,0.70174,0.516,0.499,0.41278,0.574993,0.67671,0.365292,0.35084,0.2549
160211,16:00,0.257388,0.424,0.53655,0.60574,0.534,0.474,0.40885,0.319452,0.58566,0.377617,0.27189,0.31949
160212,00:00,0.369289,0.355,0.68524,1.38882,0.49,0.462,0.37365,0.361282,0.4079,,0.29188,0.16155
160212,08:00,0.488411,0.507,1.77572,1.86663,0.493,0.581,0.86329,0.343886,0.83952,,0.42056,0.16591
160212,16:00,0.307894,0.795,0.80309,0.56882,0.61,0.488,0.4786,0.30021,0.87063,0.373733,0.32553,0.46149
160213,00:00,0.785187,,0.90423,0.92324,0.482,0.389,0.28827,0.55292,0.52225,0.442134,1.13841,1.18439
160213,08:00,0.840262,,1.02387,0.79342,0.518,0.447,0.28419,0.689082,0.53668,0.514738,0.31688,0.33173
160213,16:00,0.481643,,1.27422,0.80844,0.875,0.376,0.51456,0.484967,0.62072,0.396363,0.22732,0.49916
160214,00:00,0.625046,,1.45414,1.30019,0.785,0.342,0.66447,0.425295,0.90558,0.422378,0.36411,0.26008
160214,08:00,0.734861,0.637,1.17701,0.88165,0.484,0.356,0.38723,0.382843,0.94536,0.379734,0.48622,0.26625
160214,16:00,0.309011,0.904,0.87111,0.54847,0.951,0.51,0.38212,0.452808,0.32998,0.477911,0.35796,0.42827
160215,00:00,1.70875,1.04,0.81535,1.56088,0.807,0.449,0.42724,0.376659,0.38786,0.439785,0.88472,0.38137
160215,08:00,0.685691,1.223,1.14899,1.52402,0.996,0.641,3.22905,0.40398,0.96111,0.600738,1.4602,0.55858
160215,16:00,0.467278,0.794,0.88409,1.07864,0.983,0.713,0.48988,0.402413,0.52242,0.649604,0.37704,0.42399
160216,00:00,0.375077,0.546,0.54093,0.73048,0.749,0.459,0.54442,0.32678,0.51222,0.377668,0.2925,0.12984
160216,08:00,0.303264,0.354,1.21751,0.69978,0.464,0.48,0.50482,0.28379,0.37213,0.286312,0.36414,0.28027
160216,16:00,0.369009,0.363,0.80919,0.7121,0.456,0.461,0.41166,0.25335,0.29634,0.327641,0.30553,0.45797
160217,00:00,0.650569,0.414,0.48594,0.57679,0.503,0.367,0.3523,1.03566,0.48946,0.481771,0.59528,1.06372
160217,08:00,0.371379,0.525,0.52348,0.57115,0.745,0.599,0.29696,1.372,0.28628,0.889491,0.36131,0.27271
160217,16:00,0.364227,0.495,0.63629,0.74102,0.641,0.364,0.39285,0.34565,0.59708,0.352362,0.33038,0.20257
160218,00:00,0.656289,0.517,1.17366,0.63384,0.502,0.317,0.41962,0.352352,0.4167,0.290441,0.35207,0.19159
160218,08:00,1.07039,0.814,1.36646,1.51413,0.866,0.365,0.49786,0.555832,1.10607,0.441756,0.46798,0.27635
160218,16:00,0.491587,1.019,1.61002,0.6867,1.043,0.495,0.59878,0.455098,1.28707,0.612776,0.20493,0.37693
160219,00:00,0.57484,0.997,1.21574,1.49439,0.757,0.404,0.80536,0.518764,0.822,0.471186,0.86728,0.41496
160219,08:00,0.488867,0.584,1.5004,1.32377,0.871,0.495,0.60383,0.455578,0.65476,0.395437,0.38187,1.86646
160219,16:00,0.433375,0.598,1.16004,1.17678,0.905,0.595,0.87375,0.361632,0.82117,0.584701,0.35564,0.71155
160220,00:00,0.38046,0.421,0.51764,0.78002,0.554,0.371,0.53352,0.476899,0.56272,0.355371,0.61739,0.56438
160220,08:00,0.426557,0.662,0.73877,0.6485,0.397,0.449,0.41642,0.481698,0.82782,0.362552,0.43844,0.1621
160220,16:00,0.281066,,0.8632,0.64453,0.533,0.398,0.40253,0.443151,0.42158,0.539635,0.27746,0.18153
160221,00:00,0.299446,0.419,1.24981,2.18783,0.719,0.445,0.42486,0.401877,0.28474,0.406604,0.30775,0.13807
160221,08:00,0.31622,0.35,0.54409,0.62836,,0.371,0.35345,0.342877,0.24858,0.345671,0.31547,0.11422
160221,16:00,0.281534,0.368,0.53254,0.72168,,0.416,0.47065,0.283783,0.45436,0.246909,0.30543,0.23271
160222,00:00,0.332942,0.448,0.73072,0.5868,,0.392,0.39516,0.413107,0.30856,0.344024,0.36099,0.15417
160222,08:00,0.310107,0.335,1.03656,0.60219,,0.367,0.50681,0.33147,0.27703,0.287941,0.33402,0.18932
160222,16:00,0.309276,0.47,0.60737,0.52761,0.336,0.377,0.3686,0.302295,0.49625,0.295035,0.35384,0.31128
160223,00:00,0.313168,0.42,0.47506,0.47941,0.277,0.325,0.35672,0.325202,0.35421,0.300215,0.32614,0.1169
160223,08:00,0.34369,0.424,0.8318,0.49386,0.421,0.389,0.37033,0.319917,0.42436,0.310195,0.40393,0.19427
160223,16:00,0.359832,,0.87264,0.73138,0.407,0.416,0.33268,0.35379,0.71056,0.272735,0.29545,0.31062
160224,00:00,0.348804,0.573,1.10485,0.8114,0.513,0.528,0.44214,0.462543,1.01141,0.310784,0.35295,0.18725
160224,08:00,0.317757,0.345,0.99312,0.82027,0.414,0.671,0.53024,0.424148,0.58616,0.314796,0.27786,0.22537
160224,16:00,0.28054,0.325,0.8209,0.6865,0.326,0.441,0.34955,0.33306,0.47197,0.287158,0.19516,0.36991
160225,00:00,0.491556,0.577,0.88118,1.11209,0.438,0.373,0.71976,0.4033,1.03604,0.30135,0.35542,0.17967
160225,08:00,1.44118,0.692,1.82067,1.55152,0.555,0.457,0.8887,0.400577,1.55076,0.393456,0.46766,0.25268
160225,16:00,0.394756,0.702,,0.73974,0.391,0.5,0.44965,0.331976,0.89465,0.287658,0.31989,0.32685
160226,00:00,0.443676,0.737,0.99703,1.44345,0.662,0.463,0.34202,0.67986,0.55229,0.328203,0.40153,0.15056
160226,08:00,0.460978,0.653,1.04406,1.10391,0.635,0.56,0.36909,0.490283,0.86889,0.448552,0.41229,0.22262
160226,16:00,0.330914,0.571,0.73441,0.60796,0.529,0.524,0.31924,0.38326,0.39343,0.329238,0.38233,0.32778
160227,00:00,0.580024,0.843,2.08601,1.87281,0.789,0.587,1.78311,0.650639,1.49308,0.393262,0.96494,0.44019
160227,08:00,0.533633,0.644,2.09556,,1.069,0.515,1.08955,0.672678,1.56709,0.413394,0.88741,0.84381
160227,16:00,0.440385,0.483,0.62702,0.72248,0.754,0.435,0.34396,0.452282,0.59817,0.390028,0.3097,0.24178
160228,00:00,0.441446,0.606,1.0244,2.87613,0.816,0.596,0.59429,0.664647,0.61957,0.409024,0.54654,0.32143
160228,08:00,0.610344,0.631,1.04171,0.76659,0.443,0.432,0.37588,0.634459,0.39561,0.368898,0.54961,0.34246
160228,16:00,0.351094,0.731,0.94529,0.70778,1.02,0.545,0.4252,0.479261,0.31936,0.303592,0.442,0.40584
160229,00:00,0.410647,0.615,0.7391,1.6362,0.765,0.572,1.78739,0.450698,0.47583,0.627978,0.59599,0.28018
160229,08:00,0.369973,0.623,0.99402,1.70211,0.563,0.579,1.11923,0.45333,0.27,0.551244,0.50931,0.31373
160229,16:00,0.396834,0.61,1.16005,0.81866,0.67,0.383,0.51874,0.437271,0.36713,0.317873,0.43105,0.29213
160301,00:00,0.39474,0.535,0.65137,1.11082,0.495,0.288,0.28111,0.406672,0.38371,0.299903,0.39366,0.19303
160301,08:00,0.399165,0.587,0.78424,0.78698,0.546,0.434,0.29778,0.325036,0.59156,0.331051,0.42009,0.29726
160301,16:00,0.411529,0.608,0.97524,0.60548,1.024,0.535,0.3842,0.319053,0.75367,0.318709,0.44056,0.49232
160302,00:00,0.330425,0.629,0.51879,0.49824,0.461,0.365,0.4424,0.716744,0.44032,0.357216,0.40818,0.36746
160302,08:00,0.539077,0.699,1.28594,0.46661,0.55,0.479,0.53453,0.56339,1.04517,0.582633,0.3867,0.35438
160302,16:00,0.512653,0.806,0.73965,0.47845,0.473,0.673,0.47584,0.457678,0.61344,0.423872,0.49751,0.43066
160303,00:00,0.647781,0.896,1.13684,0.69363,0.926,0.503,0.39083,0.584615,0.41053,0.437156,0.51131,0.44733
160303,08:00,0.396475,,1.23809,1.67614,0.85,0.576,0.46059,0.649968,0.95335,0.606573,0.7155,0.77186
160303,16:00,0.318412,1.084,1.05455,0.41221,0.99,0.524,0.3288,0.621976,0.73128,0.541459,0.5042,0.35492
160304,00:00,0.97482,0.742,0.57789,0.69085,0.901,0.362,0.69287,0.629302,0.75366,0.459767,1.4129,0.48867
160304,08:00,,1.032,1.05546,0.53913,0.712,0.535,0.45805,0.599387,1.09469,0.411803,1.4287,0.58465
160304,16:00,0.356464,0.724,1.02948,0.42373,0.855,0.445,0.45464,0.375934,1.48928,0.432205,0.53005,0.39408
160305,00:00,0.634605,0.632,0.89005,0.54838,0.844,0.406,0.53709,0.468014,1.20157,0.333993,,0.31786
